Time (s),CH1,CH2
-0.0012496054478474338,0.2425,0.2425
-0.0012492054461035647,-0.22046875,-0.22046875
-0.0012488054443596955,0.2421875,0.2421875
-0.0012484054426158263,-0.22046875,-0.22046875
-0.0012480054408719572,0.2425,0.2425
-0.001247605439128088,-0.2209375,-0.2209375
-0.0012472054373842188,0.24281250000000001,0.24281250000000001
-0.0012468054356403497,-0.2209375,-0.2209375
-0.0012464054338964805,0.24296875,0.24296875
-0.0012460054321526113,-0.22125,-0.22125
-0.0012456054304087422,0.24328125,0.24328125
-0.001245205428664873,-0.22171875,-0.22171875
-0.0012448054269210038,0.24359375,0.24359375
-0.0012444054251771347,-0.22187500000000002,-0.22187500000000002
-0.0012440054234332655,0.2434375,0.2434375
-0.0012436054216893963,-0.2215625,-0.2215625
-0.0012432054199455272,0.24359375,0.24359375
-0.001242805418201658,-0.22140625,-0.22140625
-0.0012424054164577889,0.2434375,0.2434375
-0.0012420054147139197,-0.22203125,-0.22203125
-0.0012416054129700505,0.2434375,0.2434375
-0.0012412054112261814,-0.22187500000000002,-0.22187500000000002
-0.0012408054094823122,0.244375,0.244375
-0.001240405407738443,-0.2215625,-0.2215625
-0.0012400054059945739,0.24406250000000002,0.24406250000000002
-0.0012396054042507047,-0.22187500000000002,-0.22187500000000002
-0.0012392054025068355,0.24421875,0.24421875
-0.0012388054007629664,-0.22234375,-0.22234375
-0.0012384053990190972,0.244375,0.244375
-0.001238005397275228,-0.22234375,-0.22234375
-0.0012376053955313589,0.24406250000000002,0.24406250000000002
-0.0012372053937874897,-0.22234375,-0.22234375
-0.0012368053920436205,0.2446875,0.2446875
-0.0012364053902997514,-0.2221875,-0.2221875
-0.0012360053885558822,0.24453125,0.24453125
-0.001235605386812013,-0.22203125,-0.22203125
-0.0012352053850681439,0.24421875,0.24421875
-0.0012348053833242747,-0.2221875,-0.2221875
-0.0012344053815804056,0.24421875,0.24421875
-0.0012340053798365364,-0.2225,-0.2225
-0.0012336053780926672,0.24453125,0.24453125
-0.001233205376348798,-0.22296875,-0.22296875
-0.001232805374604929,0.244375,0.244375
-0.0012324053728610597,-0.2228125,-0.2228125
-0.0012320053711171906,0.245,0.245
-0.0012316053693733214,-0.22265625,-0.22265625
-0.0012312053676294522,0.24531250000000002,0.24531250000000002
-0.001230805365885583,-0.2228125,-0.2228125
-0.001230405364141714,0.245,0.245
-0.0012300053623978447,-0.22328125000000001,-0.22328125000000001
-0.0012296053606539756,0.245,0.245
-0.0012292053589101064,-0.22312500000000002,-0.22312500000000002
-0.0012288053571662373,0.24515625,0.24515625
-0.001228405355422368,-0.22296875,-0.22296875
-0.001228005353678499,0.24546875,0.24546875
-0.0012276053519346298,-0.2234375,-0.2234375
-0.0012272053501907606,0.24578125,0.24578125
-0.0012268053484468914,-0.22312500000000002,-0.22312500000000002
-0.0012264053467030223,0.24546875,0.24546875
-0.001226005344959153,-0.2234375,-0.2234375
-0.001225605343215284,0.24546875,0.24546875
-0.0012252053414714148,-0.22375,-0.22375
-0.0012248053397275456,0.24609375,0.24609375
-0.0012244053379836764,-0.22375,-0.22375
-0.0012240053362398073,0.2459375,0.2459375
-0.0012236053344959381,-0.22421875,-0.22421875
-0.001223205332752069,0.24625,0.24625
-0.0012228053310081998,-0.2240625,-0.2240625
-0.0012224053292643306,0.24625,0.24625
-0.0012220053275204615,-0.2240625,-0.2240625
-0.0012216053257765923,0.24578125,0.24578125
-0.0012212053240327231,-0.22421875,-0.22421875
-0.001220805322288854,0.24625,0.24625
-0.0012204053205449848,-0.22375,-0.22375
-0.0012200053188011156,0.24625,0.24625
-0.0012196053170572465,-0.22390625,-0.22390625
-0.0012192053153133773,0.24609375,0.24609375
-0.0012188053135695081,-0.224375,-0.224375
-0.001218405311825639,0.2459375,0.2459375
-0.0012180053100817698,-0.2240625,-0.2240625
-0.0012176053083379006,0.24609375,0.24609375
-0.0012172053065940315,-0.22390625,-0.22390625
-0.0012168053048501623,0.246875,0.246875
-0.0012164053031062931,-0.224375,-0.224375
-0.001216005301362424,0.24671875000000001,0.24671875000000001
-0.0012156052996185548,-0.2246875,-0.2246875
-0.0012152052978746857,0.24671875000000001,0.24671875000000001
-0.0012148052961308165,-0.2240625,-0.2240625
-0.0012144052943869473,0.24625,0.24625
-0.0012140052926430782,-0.2240625,-0.2240625
-0.001213605290899209,0.2459375,0.2459375
-0.0012132052891553398,-0.2240625,-0.2240625
-0.0012128052874114707,0.24671875000000001,0.24671875000000001
-0.0012124052856676015,-0.22421875,-0.22421875
-0.0012120052839237323,0.24656250000000002,0.24656250000000002
-0.0012116052821798632,-0.224375,-0.224375
-0.001211205280435994,0.24609375,0.24609375
-0.0012108052786921248,-0.2240625,-0.2240625
-0.0012104052769482557,0.24656250000000002,0.24656250000000002
-0.0012100052752043865,-0.22421875,-0.22421875
-0.0012096052734605173,0.24640625,0.24640625
-0.0012092052717166482,-0.22484375,-0.22484375
-0.001208805269972779,0.24671875000000001,0.24671875000000001
-0.0012084052682289099,-0.224375,-0.224375
-0.0012080052664850407,0.246875,0.246875
-0.0012076052647411715,-0.22421875,-0.22421875
-0.0012072052629973024,0.24671875000000001,0.24671875000000001
-0.0012068052612534332,-0.22421875,-0.22421875
-0.001206405259509564,0.2471875,0.2471875
-0.0012060052577656949,-0.224375,-0.224375
-0.0012056052560218257,0.24671875000000001,0.24671875000000001
-0.0012052052542779565,-0.22484375,-0.22484375
-0.0012048052525340874,0.24640625,0.24640625
-0.0012044052507902182,-0.22453125000000002,-0.22453125000000002
-0.001204005249046349,0.24671875000000001,0.24671875000000001
-0.0012036052473024799,-0.2246875,-0.2246875
-0.0012032052455586107,0.24656250000000002,0.24656250000000002
-0.0012028052438147415,-0.2246875,-0.2246875
-0.0012024052420708724,0.2471875,0.2471875
-0.0012020052403270032,-0.22453125000000002,-0.22453125000000002
-0.001201605238583134,0.2475,0.2475
-0.0012012052368392649,-0.225,-0.225
-0.0012008052350953957,0.246875,0.246875
-0.0012004052333515266,-0.225,-0.225
-0.0012000052316076574,0.24671875000000001,0.24671875000000001
-0.0011996052298637882,-0.22421875,-0.22421875
-0.001199205228119919,0.24703125,0.24703125
-0.00119880522637605,-0.224375,-0.224375
-0.0011984052246321807,0.24671875000000001,0.24671875000000001
-0.0011980052228883116,-0.2246875,-0.2246875
-0.0011976052211444424,0.24703125,0.24703125
-0.0011972052194005732,-0.22484375,-0.22484375
-0.001196805217656704,0.246875,0.246875
-0.001196405215912835,-0.22484375,-0.22484375
-0.0011960052141689657,0.24671875000000001,0.24671875000000001
-0.0011956052124250966,-0.225,-0.225
-0.0011952052106812274,0.24703125,0.24703125
-0.0011948052089373583,-0.22453125000000002,-0.22453125000000002
-0.001194405207193489,0.2471875,0.2471875
-0.00119400520544962,-0.2246875,-0.2246875
-0.0011936052037057508,0.24671875000000001,0.24671875000000001
-0.0011932052019618816,-0.22453125000000002,-0.22453125000000002
-0.0011928052002180124,0.24625,0.24625
-0.0011924051984741433,-0.2240625,-0.2240625
-0.001192005196730274,0.24671875000000001,0.24671875000000001
-0.001191605194986405,-0.224375,-0.224375
-0.0011912051932425358,0.24656250000000002,0.24656250000000002
-0.0011908051914986666,-0.22484375,-0.22484375
